report_date,market_name,contract_code,open_interest,dealer_long,dealer_short,asset_manager_long,asset_manager_short,leveraged_long,leveraged_short,other_long,other_short,nonreportable_long,nonreportable_short,symbol,available_at,leveraged_net,leveraged_net_pct_oi,leveraged_weekly_change,leveraged_percentile,leveraged_zscore,asset_manager_net,asset_manager_net_pct_oi,asset_manager_weekly_change,asset_manager_percentile,asset_manager_zscore,dealer_net,dealer_net_pct_oi,dealer_weekly_change,other_net,other_net_pct_oi,other_weekly_change,nonreportable_net,nonreportable_net_pct_oi,nonreportable_weekly_change,date,close,price_sma,price_momentum,price_normalized,state,extreme_direction,proxy_symbol
2010-06-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,1132309,60213,226700,418437,154926,87605,196656,13190,23087,199725,177801,ES,2010-06-18 15:30:00-04:00,-109051,-9.630851649152307,,,,263511,23.272004373364513,,,,-166487,-14.703318617091272,,-9897,-0.87405469708357,,21924,1.936220589962634,,,,,,,NORMAL,,SPY
2010-06-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,822092,51465,237953,428055,151956,70878,182244,14131,18363,148310,122322,ES,2010-06-25 15:30:00-04:00,-111366,-13.546659011400184,-3.915807362247877,,,276099,33.58492723442145,10.312922861056936,,,-186488,-22.68456571770556,-7.981247100614288,-4232,-0.5147842333948025,0.35927046368876747,25988,3.161203368966004,1.22498277900337,2010-07-01,110.2699966430664,110.17399978637695,-0.05752139621310764,248.32089321450562,NORMAL,,SPY
2010-06-29,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,850401,56055,231627,436268,177832,77655,184364,14728,17412,147851,121322,ES,2010-07-02 15:30:00-04:00,-106709,-12.54808025860741,0.9985787527927741,,,258436,30.38989841263122,-3.195028821790231,,,-175572,-20.645789456973827,2.0387762607317335,-2684,-0.3156158094828205,0.19916842391198203,26529,3.1195871124328405,-0.041616256533163476,,,,,,NORMAL,,SPY
2010-07-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,883425,67325,213136,439698,182961,75033,203822,16166,20897,155452,132857,ES,2010-07-09 15:30:00-04:00,-128789,-14.57837394232674,-2.0302936837193304,,,256737,29.061550216486967,-1.3283481961442511,,,-145811,-16.505192857344994,4.140596599628832,-4731,-0.535529331861788,-0.2199135223789675,22595,2.5576591108469877,-0.5619280015858528,,,,,,NORMAL,,SPY
2010-07-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,874896,75793,209944,436647,156376,72289,218281,15938,23799,148284,140552,ES,2010-07-16 15:30:00-04:00,-145992,-16.68678334339167,-2.1084094010649306,,,280271,32.034778990874344,2.973228774387376,,,-134151,-15.333365337137215,1.1718275202077795,-7861,-0.8985067939503667,-0.36297746208857873,7732,0.8837621843053346,-1.6738969265416532,,,,,,NORMAL,,SPY
2010-07-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,870890,69325,213533,439798,163886,71078,207667,15780,26039,140850,125705,ES,2010-07-23 15:30:00-04:00,-136589,-15.683840668741173,1.0029426746504981,,,275912,31.68161306249928,-0.3531659283750628,,,-144208,-16.558692831471255,-1.2253274943340404,-10259,-1.1779903317296099,-0.2794835377792432,15145,1.739025594506769,0.8552634102014344,,,,,,NORMAL,,SPY
2010-07-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,868087,64249,221794,436528,160962,74295,198835,14351,25817,140933,122949,ES,2010-07-30 15:30:00-04:00,-124540,-14.346488312807358,1.337352355933815,,,275566,31.744053303413136,0.062440240913854694,,,-157545,-18.148526587772885,-1.5898337563016298,-11466,-1.3208353540601345,-0.14284502233052465,17984,2.0716817554000926,0.3326561608933236,2010-08-01,105.30999755859375,110.34899978637695,-0.1136268014258832,237.15129640218157,NORMAL,,SPY
2010-08-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,865807,62864,229690,426131,154923,73031,194231,15967,25972,145972,119149,ES,2010-08-06 15:30:00-04:00,-121200,-13.998500820621686,0.3479874921856716,,,271208,31.324302067319852,-0.41975123609328335,,,-166826,-19.26826648433196,-1.119739896559075,-10005,-1.1555693127914188,0.1652660412687157,26823,3.09803455042521,1.0263527950251174,,,,,,NORMAL,,SPY
2010-08-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,870141,64988,236974,433037,156174,74317,193916,14557,27365,137925,110396,ES,2010-08-13 15:30:00-04:00,-119599,-13.744783891346344,0.25371692927534184,,,276863,31.81817659436804,0.49387452704818813,,,-171986,-19.76530240501252,-0.4970359206805597,-12808,-1.47194535138558,-0.3163760385941612,27529,3.163740129473269,0.06570557904805918,,,,,,NORMAL,,SPY
2010-08-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,884624,69690,215444,425661,169158,80856,196286,16120,29793,131808,113453,ES,2010-08-20 15:30:00-04:00,-115430,-13.048481614787752,0.6963022765585922,,,256503,28.99570891135669,-2.82246768301135,,,-145754,-16.476378664833874,3.288923740178646,-13673,-1.545628425184033,-0.07368307379845307,18355,2.0748928358262946,-1.0888472936469746,,,,,,NORMAL,,SPY
2010-08-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,910530,82538,193593,429139,184192,78017,212103,16706,34539,117060,99033,ES,2010-08-27 15:30:00-04:00,-134086,-14.726148506913557,-1.6776668921258047,,,244947,26.90158479127541,-2.094124120081279,,,-111055,-12.196742556533009,4.279636108300865,-17833,-1.9585296475679,-0.41290122238386684,18027,1.9798359197390532,-0.09505691608724143,2010-09-01,114.12999725341797,110.76799926757812,0.04352193825820028,257.0133646804627,NORMAL,,SPY
2010-08-31,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,938443,92626,189051,432585,189618,78547,223099,16102,35726,109316,91682,ES,2010-09-03 15:30:00-04:00,-144552,-15.40338624722013,-0.6772377403065732,,,242967,25.890437671760566,-1.0111471195148454,,,-96425,-10.274998055289453,1.9217445012435554,-19624,-2.0911232754679827,-0.13259362790008278,17634,1.8790699062169998,-0.10076601352205339,,,,,,NORMAL,,SPY
